"{""a_max"":0.8",acc_x_max:10,acc_y_max:10,control_mode:1,damping_ratio:1.414,deadzone_position:0.002,deadzone_velocity:0.0,drawing_force_threshold_high:-0.5,drawing_force_threshold_low:-1.5,driving_force:5,"ds_system_file:""../generated_ds/Sine_Final.onnx""",dz:0.0,eigen_0:150,eigen_1:300,experiment_timelimit:30,initial_cartesian_pose:[0.64614,-0.00222445,-0.763203,0,0.0189551,-0.999631,0.0189613,0,-0.762979,-0.0267188,-0.645871,0,0.201325,-0.0465581,0.0650183,1],initial_joint_pose:[0.385223,0.231564,-0.472899,-2.72404,-0.0195794,2.06941,0.667528],initial_x_ds:-0.9,initial_y_ds:0,max_tank_level:100000,maximum_force:15,maximum_iteration_no:80,move_to_paper_start_time:5,"output_filename:""../result/Recording_""",randomize_initial_pose:false,randomize_radius:0.03,"robot_ip:""192.168.3.100""",rotational_stiffness:[80,80,80],system_scale:4,target_x_ds:0,target_y_ds:0,time_step:0.001,translational_stiffness:[0,0,500],use_gripper:false,v_max:0.15,v_x_max:1,v_y_max:1,velocity_scale:2,z_elevation:0.0}
time,q[0],q[1],q[2],q[3],q[4],q[5],q[6],O_T_EE[0],O_T_EE[1],O_T_EE[2],O_T_EE[3],O_T_EE[4],O_T_EE[5],O_T_EE[6],O_T_EE[7],O_T_EE[8],O_T_EE[9],O_T_EE[10],O_T_EE[11],O_T_EE[12],O_T_EE[13],O_T_EE[14],O_T_EE[15],x,y,dx,dy,O_F_ext_hat_K[0],O_F_ext_hat_K[1],O_F_ext_hat_K[2],cartesian_contact[0],cartesian_contact[1],cartesian_contact[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269503,0.385332,0.264524,-0.470235,-2.725882,-0.021551,2.059641,0.66149,0.612957,-0.00305,-0.790098,0,0.026968,-0.99932,0.024779,0,-0.789651,-0.036497,-0.612469,0,0.190124,-0.049204,0.060538,1,-0.944804,-0.010582,0.002929,0.068877,-1.313739,-0.385474,-0.959884,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269504,0.385338,0.264521,-0.47024,-2.725878,-0.021548,2.05964,0.661487,0.612962,-0.003047,-0.790094,0,0.026968,-0.99932,0.024776,0,-0.789647,-0.036495,-0.612475,0,0.190127,-0.049203,0.060539,1,-0.944791,-0.01058,0.002932,0.068873,-1.316036,-0.3936,-0.954948,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269505,0.385335,0.264528,-0.470242,-2.725879,-0.021547,2.059641,0.661489,0.612957,-0.003055,-0.790098,0,0.026961,-0.99932,0.024781,0,-0.789652,-0.036492,-0.612469,0,0.190125,-0.049204,0.060538,1,-0.944802,-0.010585,0.002931,0.068874,-1.331174,-0.401006,-0.954073,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269506,0.385338,0.264524,-0.47024,-2.725878,-0.021546,2.059637,0.661485,0.612958,-0.003047,-0.790098,0,0.026968,-0.99932,0.024775,0,-0.789651,-0.036494,-0.61247,0,0.190126,-0.049203,0.060539,1,-0.944797,-0.010579,0.00293,0.068876,-1.355145,-0.40648,-0.954685,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269507,0.385335,0.264525,-0.47024,-2.725882,-0.021547,2.059637,0.661487,0.612953,-0.003051,-0.790102,0,0.026964,-0.99932,0.024777,0,-0.789655,-0.036492,-0.612465,0,0.190123,-0.049204,0.060538,1,-0.94481,-0.010582,0.002927,0.06888,-1.376598,-0.41162,-0.954933,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269508,0.385335,0.264526,-0.470243,-2.725882,-0.021551,2.059639,0.661491,0.612954,-0.003056,-0.7901,0,0.026962,-0.99932,0.024782,0,-0.789654,-0.036494,-0.612467,0,0.190123,-0.049205,0.060538,1,-0.944807,-0.010588,0.00293,0.068875,-1.389789,-0.414285,-0.95454,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269509,0.385338,0.264523,-0.470237,-2.725882,-0.021546,2.05964,0.661492,0.612957,-0.003051,-0.790098,0,0.026966,-0.99932,0.024779,0,-0.789652,-0.036495,-0.612469,0,0.190124,-0.049202,0.060538,1,-0.944804,-0.010576,0.002927,0.068881,-1.395246,-0.408938,-0.953908,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269510,0.385338,0.26452,-0.47024,-2.72588,-0.02155,2.059641,0.66149,0.612961,-0.003049,-0.790095,0,0.026968,-0.99932,0.024779,0,-0.789648,-0.036497,-0.612473,0,0.190126,-0.049203,0.060539,1,-0.944797,-0.01058,0.00293,0.068875,-1.394299,-0.393617,-0.957477,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269511,0.385335,0.26452,-0.470244,-2.725874,-0.021547,2.05964,0.661486,0.612965,-0.003052,-0.790092,0,0.026961,-0.99932,0.024777,0,-0.789645,-0.03649,-0.612478,0,0.190129,-0.049205,0.060539,1,-0.944784,-0.010586,0.002936,0.068866,-1.38936,-0.371704,-0.967475,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
