"{""a_max"":0.8",acc_x_max:10,acc_y_max:10,control_mode:1,damping_ratio:1.414,deadzone_position:0.002,deadzone_velocity:0.0,drawing_force_threshold_high:-0.5,drawing_force_threshold_low:-1.5,driving_force:5,"ds_system_file:""../generated_ds/Worm_Final.onnx""",dz:0.0,eigen_0:150,eigen_1:300,experiment_timelimit:30,initial_cartesian_pose:[0.643059,-0.0290891,-0.765251,0,-0.00427042,-0.999389,0.0344007,0,-0.7658,-0.0188541,-0.642803,0,0.193434,-0.0365801,0.068766,1],initial_joint_pose:[0.31301,0.194648,-0.38795,-2.74978,-0.0270625,2.06228,0.727268],initial_x_ds:-0.98,initial_y_ds:-0.05,max_tank_level:100000,maximum_force:15,maximum_iteration_no:80,move_to_paper_start_time:5,"output_filename:""../result/Recording_""",randomize_initial_pose:false,randomize_radius:0.03,"robot_ip:""192.168.3.100""",rotational_stiffness:[80,80,80],system_scale:4,target_x_ds:0,target_y_ds:0,time_step:0.001,translational_stiffness:[0,0,500],use_gripper:false,v_max:0.15,v_x_max:1,v_y_max:1,velocity_scale:2,z_elevation:0.0}
time,q[0],q[1],q[2],q[3],q[4],q[5],q[6],O_T_EE[0],O_T_EE[1],O_T_EE[2],O_T_EE[3],O_T_EE[4],O_T_EE[5],O_T_EE[6],O_T_EE[7],O_T_EE[8],O_T_EE[9],O_T_EE[10],O_T_EE[11],O_T_EE[12],O_T_EE[13],O_T_EE[14],O_T_EE[15],x,y,dx,dy,O_F_ext_hat_K[0],O_F_ext_hat_K[1],O_F_ext_hat_K[2],cartesian_contact[0],cartesian_contact[1],cartesian_contact[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038223,0.313501,0.249782,-0.382718,-2.692249,-0.025242,2.030471,0.715086,0.622231,-0.027156,-0.78235,0,0.010256,-0.99902,0.042834,0,-0.782762,-0.034677,-0.621354,0,0.205365,-0.040657,0.065418,1,-0.932276,-0.066307,0.147269,0.028494,0.552327,0.670958,-0.017074,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038224,0.313506,0.249819,-0.382657,-2.691948,-0.025198,2.030276,0.715081,0.622285,-0.027132,-0.782308,0,0.010286,-0.99902,0.04283,0,-0.782718,-0.034701,-0.621408,0,0.205486,-0.040641,0.065446,1,-0.931793,-0.066245,0.147249,0.028596,0.554663,0.693653,-0.048311,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038225,0.313507,0.24986,-0.382589,-2.691663,-0.025151,2.030091,0.715084,0.622334,-0.027114,-0.78227,0,0.010312,-0.99902,0.04283,0,-0.782679,-0.034722,-0.621456,0,0.205599,-0.040624,0.065472,1,-0.93134,-0.066177,0.147232,0.028682,0.547475,0.714086,-0.081897,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038226,0.313504,0.2499,-0.38252,-2.691364,-0.025106,2.029913,0.715084,0.622398,-0.027094,-0.782219,0,0.010338,-0.999019,0.042829,0,-0.782628,-0.034744,-0.62152,0,0.205721,-0.040609,0.065498,1,-0.930852,-0.066114,0.147212,0.028785,0.518313,0.734329,-0.103408,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038227,0.313513,0.249952,-0.382454,-2.691069,-0.025056,2.029737,0.715085,0.622453,-0.027075,-0.782176,0,0.010368,-0.999019,0.042832,0,-0.782583,-0.034772,-0.621574,0,0.205839,-0.040591,0.065521,1,-0.93038,-0.066045,0.147194,0.028877,0.465728,0.755036,-0.118214,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038228,0.313509,0.249988,-0.38239,-2.690781,-0.025005,2.029559,0.715084,0.622512,-0.027059,-0.78213,0,0.010384,-0.999019,0.042827,0,-0.782537,-0.034783,-0.621632,0,0.205956,-0.040575,0.065547,1,-0.929913,-0.065981,0.147176,0.028971,0.408096,0.768839,-0.128596,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038229,0.313515,0.250031,-0.382323,-2.690484,-0.02496,2.029377,0.715082,0.62257,-0.027035,-0.782085,0,0.010418,-0.999019,0.042826,0,-0.78249,-0.03481,-0.621689,0,0.206075,-0.040558,0.065573,1,-0.929435,-0.065914,0.147157,0.029066,0.362372,0.773713,-0.132613,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038230,0.313512,0.250068,-0.382261,-2.690199,-0.024913,2.02919,0.715081,0.622619,-0.027018,-0.782046,0,0.010437,-0.999019,0.042823,0,-0.78245,-0.034825,-0.621738,0,0.206189,-0.040543,0.0656,1,-0.92898,-0.065852,0.147139,0.029159,0.332895,0.777987,-0.140724,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038231,0.313515,0.250113,-0.382191,-2.689909,-0.024864,2.02901,0.715081,0.622672,-0.026996,-0.782005,0,0.010466,-0.999018,0.042821,0,-0.782408,-0.034848,-0.62179,0,0.206304,-0.040525,0.065625,1,-0.928519,-0.065781,0.147122,0.029245,0.322284,0.789853,-0.156151,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038232,0.313518,0.250153,-0.382126,-2.689611,-0.024812,2.028839,0.715087,0.622742,-0.026984,-0.78195,0,0.010485,-0.999018,0.042825,0,-0.782352,-0.034868,-0.621859,0,0.206428,-0.040508,0.06565,1,-0.928025,-0.065713,0.147102,0.029344,0.324581,0.806813,-0.167717,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038233,0.313516,0.250196,-0.382056,-2.689324,-0.024764,2.028664,0.715086,0.622798,-0.026964,-0.781906,0,0.010509,-0.999018,0.042822,0,-0.782307,-0.034887,-0.621915,0,0.206543,-0.040492,0.065674,1,-0.927563,-0.065646,0.147084,0.029433,0.332498,0.822549,-0.170057,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038234,0.313516,0.250248,-0.381984,-2.689031,-0.024707,2.028492,0.715086,0.622854,-0.026946,-0.781862,0,0.010532,-0.999018,0.042821,0,-0.782263,-0.034906,-0.62197,0,0.20666,-0.040473,0.065697,1,-0.927095,-0.065573,0.147067,0.029519,0.342919,0.835305,-0.160175,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038235,0.313513,0.250288,-0.381914,-2.688747,-0.024655,2.028312,0.715083,0.622905,-0.026925,-0.781821,0,0.010554,-0.999018,0.042814,0,-0.782221,-0.034921,-0.622021,0,0.206774,-0.040455,0.065722,1,-0.926642,-0.065502,0.14705,0.029601,0.35606,0.84366,-0.140538,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
