"{""a_max"":0.8",acc_x_max:10,acc_y_max:10,control_mode:1,damping_ratio:1.414,deadzone_position:0.002,deadzone_velocity:0.0,drawing_force_threshold_high:-0.5,drawing_force_threshold_low:-1.5,driving_force:5,"ds_system_file:""../generated_ds/Angle_Final.onnx""",dz:0.0,eigen_0:150,eigen_1:300,experiment_timelimit:30,initial_cartesian_pose:[0.670986,0.0174283,-0.741252,0,0.00957798,-0.999834,-0.014838,0,-0.741402,0.00285647,-0.671055,0,0.243195,-0.0934624,0.0792969,1],initial_joint_pose:[0.252836,0.250632,-0.47312,-2.5972,-0.080722,2.00457,0.578335],initial_x_ds:-0.9,initial_y_ds:0,max_tank_level:100000,maximum_force:15,maximum_iteration_no:80,move_to_paper_start_time:5,"output_filename:""../result/Recording_""",randomize_initial_pose:false,randomize_radius:0.03,"robot_ip:""192.168.3.100""",rotational_stiffness:[80,80,80],system_scale:5.747,target_x_ds:0,target_y_ds:0,time_step:0.001,translational_stiffness:[0,0,500],use_gripper:false,v_max:0.15,v_x_max:1,v_y_max:1,velocity_scale:2,z_elevation:0.0}
time,q[0],q[1],q[2],q[3],q[4],q[5],q[6],O_T_EE[0],O_T_EE[1],O_T_EE[2],O_T_EE[3],O_T_EE[4],O_T_EE[5],O_T_EE[6],O_T_EE[7],O_T_EE[8],O_T_EE[9],O_T_EE[10],O_T_EE[11],O_T_EE[12],O_T_EE[13],O_T_EE[14],O_T_EE[15],x,y,dx,dy,O_F_ext_hat_K[0],O_F_ext_hat_K[1],O_F_ext_hat_K[2],cartesian_contact[0],cartesian_contact[1],cartesian_contact[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182538,0.254962,0.294216,-0.470357,-2.596822,-0.080432,2.004886,0.577443,0.639457,0.013586,-0.768694,0,0.014338,-0.999871,-0.005745,0,-0.768688,-0.007348,-0.639582,0,0.232973,-0.09497,0.070169,1,-0.958746,-0.008666,0.082815,0.125067,-1.065304,-0.32368,0.238541,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182539,0.254954,0.2943,-0.470357,-2.596825,-0.080429,2.004924,0.577441,0.639422,0.013567,-0.768724,0,0.014334,-0.999871,-0.005723,0,-0.768718,-0.007359,-0.639546,0,0.232957,-0.094978,0.070148,1,-0.958838,-0.008713,0.082809,0.125071,-1.039828,-0.296948,0.213155,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182540,0.25496,0.294381,-0.470352,-2.596822,-0.08043,2.004961,0.577441,0.639391,0.013559,-0.768749,0,0.014351,-0.999871,-0.005699,0,-0.768742,-0.007389,-0.639516,0,0.232946,-0.094983,0.070127,1,-0.958898,-0.00874,0.082805,0.125073,-1.019571,-0.273761,0.205483,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182541,0.25496,0.294462,-0.470352,-2.596822,-0.080432,2.004997,0.577438,0.639357,0.013547,-0.768778,0,0.01436,-0.999871,-0.005677,0,-0.768771,-0.00741,-0.639481,0,0.232933,-0.09499,0.070107,1,-0.958978,-0.008781,0.0828,0.125076,-1.005715,-0.259505,0.215077,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182542,0.25496,0.294538,-0.470356,-2.596816,-0.080433,2.005036,0.577426,0.639335,0.013541,-0.768797,0,0.01437,-0.999871,-0.00566,0,-0.768789,-0.007429,-0.639459,0,0.232924,-0.094999,0.070089,1,-0.959027,-0.00883,0.082797,0.125078,-0.995854,-0.253305,0.236608,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182543,0.25496,0.294618,-0.470351,-2.596816,-0.080433,2.005072,0.57743,0.639302,0.013525,-0.768824,0,0.014378,-0.999871,-0.005634,0,-0.768816,-0.007452,-0.639427,0,0.232911,-0.095004,0.070069,1,-0.9591,-0.008861,0.082793,0.125081,-0.990137,-0.245149,0.274644,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182544,0.25496,0.294698,-0.470357,-2.596816,-0.080432,2.005109,0.577421,0.639271,0.013515,-0.76885,0,0.014384,-0.999871,-0.005617,0,-0.768842,-0.007468,-0.639396,0,0.232898,-0.095012,0.070049,1,-0.959176,-0.008908,0.082788,0.125084,-0.986198,-0.227149,0.332355,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182545,0.254962,0.294778,-0.470352,-2.596815,-0.080433,2.005147,0.577419,0.63924,0.013508,-0.768876,0,0.014398,-0.999871,-0.005595,0,-0.768867,-0.007494,-0.639365,0,0.232886,-0.095017,0.070029,1,-0.959243,-0.008937,0.082784,0.125087,-0.98149,-0.204374,0.394722,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182546,0.254957,0.294855,-0.470354,-2.596816,-0.080432,2.005186,0.577415,0.639211,0.013491,-0.7689,0,0.014399,-0.999871,-0.005574,0,-0.768891,-0.007509,-0.639336,0,0.232873,-0.095026,0.07001,1,-0.959318,-0.008984,0.08278,0.12509,-0.976665,-0.186491,0.444059,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182547,0.254954,0.29493,-0.470356,-2.596811,-0.080436,2.005223,0.577401,0.639187,0.013489,-0.76892,0,0.014412,-0.999871,-0.00556,0,-0.768911,-0.007528,-0.639312,0,0.232864,-0.095035,0.069991,1,-0.959371,-0.009036,0.082776,0.125092,-0.970983,-0.173559,0.472388,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182548,0.254959,0.295012,-0.470354,-2.596813,-0.080433,2.005262,0.577403,0.639154,0.013476,-0.768948,0,0.014422,-0.999871,-0.005535,0,-0.768939,-0.007552,-0.639278,0,0.232851,-0.095039,0.06997,1,-0.959449,-0.009061,0.082772,0.125095,-0.964783,-0.165041,0.481464,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182549,0.254965,0.295086,-0.470356,-2.596816,-0.080432,2.005296,0.577387,0.639123,0.013478,-0.768974,0,0.014438,-0.999871,-0.005525,0,-0.768964,-0.007571,-0.639247,0,0.232838,-0.095044,0.069952,1,-0.959524,-0.009091,0.082767,0.125098,-0.957658,-0.167337,0.476987,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182550,0.254957,0.295162,-0.470356,-2.596812,-0.080432,2.005337,0.577388,0.6391,0.013458,-0.768993,0,0.014436,-0.999871,-0.005501,0,-0.768983,-0.007586,-0.639224,0,0.232828,-0.095053,0.069933,1,-0.959581,-0.009142,0.082764,0.125101,-0.948615,-0.179877,0.461332,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182551,0.254952,0.295239,-0.470351,-2.596819,-0.080432,2.00538,0.577379,0.639069,0.013454,-0.769019,0,0.014448,-0.999871,-0.005487,0,-0.769009,-0.007604,-0.639193,0,0.232813,-0.095059,0.069912,1,-0.959668,-0.009175,0.082758,0.125104,-0.940874,-0.193387,0.448987,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182552,0.254955,0.295316,-0.470349,-2.596815,-0.080433,2.005418,0.577369,0.639043,0.013453,-0.769041,0,0.014466,-0.999871,-0.00547,0,-0.76903,-0.007629,-0.639167,0,0.232803,-0.095065,0.069893,1,-0.959721,-0.009208,0.082755,0.125106,-0.938269,-0.206229,0.45553,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
