"{""a_max"":0.8",acc_x_max:10,acc_y_max:10,control_mode:1,damping_ratio:1.414,deadzone_position:0.002,deadzone_velocity:0.0,drawing_force_threshold_high:-0.5,drawing_force_threshold_low:-1.5,driving_force:5,"ds_system_file:""../generated_ds/PShape_Final.onnx""",dz:0.0,eigen_0:150,eigen_1:300,experiment_timelimit:30,initial_cartesian_pose:[0.573126,-0.00323033,-0.819449,0,-0.00695561,-0.999966,-0.000922836,0,-0.819434,0.00622879,-0.57314,0,0.235074,-0.0658581,0.0674098,1],initial_joint_pose:[0.487182,0.395801,-0.603417,-2.5447,0.0725013,1.91511,0.538146],initial_x_ds:-0.75,initial_y_ds:-0.58,max_tank_level:100000,maximum_force:15,maximum_iteration_no:80,move_to_paper_start_time:5,"output_filename:""../result/Recording_""",randomize_initial_pose:false,randomize_radius:0.03,"robot_ip:""192.168.3.100""",rotational_stiffness:[80,80,80],system_scale:9.091,target_x_ds:0,target_y_ds:0,time_step:0.001,translational_stiffness:[0,0,500],use_gripper:false,v_max:0.15,v_x_max:1,v_y_max:1,velocity_scale:2,z_elevation:0.0}
time,q[0],q[1],q[2],q[3],q[4],q[5],q[6],O_T_EE[0],O_T_EE[1],O_T_EE[2],O_T_EE[3],O_T_EE[4],O_T_EE[5],O_T_EE[6],O_T_EE[7],O_T_EE[8],O_T_EE[9],O_T_EE[10],O_T_EE[11],O_T_EE[12],O_T_EE[13],O_T_EE[14],O_T_EE[15],x,y,dx,dy,O_F_ext_hat_K[0],O_F_ext_hat_K[1],O_F_ext_hat_K[2],cartesian_contact[0],cartesian_contact[1],cartesian_contact[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314630,0.488327,0.444036,-0.596045,-2.543418,0.075199,1.912937,0.524853,0.536358,-0.002981,-0.843974,0,0.005725,-0.999948,0.00717,0,-0.843968,-0.008678,-0.536324,0,0.224077,-0.068913,0.05887,1,-0.849977,-0.607774,0.008234,0.050042,-0.651303,0.79922,-0.885425,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314631,0.488342,0.444033,-0.595995,-2.543405,0.075247,1.912926,0.524851,0.536364,-0.002944,-0.84397,0,0.005742,-0.999948,0.007138,0,-0.843964,-0.008674,-0.53633,0,0.224085,-0.068886,0.058867,1,-0.849903,-0.607529,0.008223,0.050381,-0.63772,0.79959,-0.877015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314632,0.488359,0.444036,-0.595952,-2.543397,0.075292,1.912914,0.524857,0.536361,-0.002922,-0.843972,0,0.005751,-0.999949,0.007117,0,-0.843966,-0.008671,-0.536327,0,0.224089,-0.068862,0.058864,1,-0.849864,-0.607307,0.008213,0.050679,-0.621019,0.798107,-0.864334,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314633,0.488368,0.444036,-0.595907,-2.543392,0.07534,1.912907,0.524856,0.536361,-0.002897,-0.843972,0,0.005755,-0.999949,0.007089,0,-0.843966,-0.008659,-0.536327,0,0.224092,-0.068838,0.05886,1,-0.849837,-0.607092,0.008204,0.050964,-0.59911,0.793376,-0.847039,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314634,0.488383,0.444034,-0.595863,-2.543375,0.075386,1.912894,0.524856,0.536368,-0.002866,-0.843968,0,0.005768,-0.999949,0.007061,0,-0.843961,-0.008655,-0.536334,0,0.224102,-0.068813,0.058857,1,-0.849748,-0.606862,0.008193,0.051287,-0.575252,0.786379,-0.825319,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314635,0.488396,0.444036,-0.595813,-2.543368,0.07543,1.912884,0.524851,0.536365,-0.002829,-0.84397,0,0.005785,-0.999949,0.007029,0,-0.843963,-0.008653,-0.536332,0,0.224106,-0.068788,0.058853,1,-0.849714,-0.606633,0.008183,0.051592,-0.559404,0.774737,-0.803825,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314636,0.48841,0.444034,-0.595764,-2.543357,0.075477,1.912872,0.524856,0.536368,-0.002801,-0.843968,0,0.005797,-0.999949,0.007003,0,-0.843961,-0.008649,-0.536335,0,0.224112,-0.068761,0.05885,1,-0.849652,-0.606393,0.008172,0.051921,-0.555642,0.75756,-0.786347,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314637,0.488421,0.444028,-0.595719,-2.54335,0.075522,1.912862,0.524854,0.536371,-0.002769,-0.843966,0,0.005807,-0.999949,0.006971,0,-0.843959,-0.00864,-0.536338,0,0.224118,-0.068736,0.058848,1,-0.849602,-0.606166,0.008162,0.052229,-0.559947,0.736108,-0.776327,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314638,0.488437,0.444034,-0.595672,-2.543335,0.075568,1.912854,0.524856,0.536374,-0.002741,-0.843965,0,0.005822,-0.999949,0.006948,0,-0.843957,-0.00864,-0.536341,0,0.224125,-0.068712,0.058843,1,-0.849536,-0.605942,0.008153,0.052537,-0.56517,0.71541,-0.771668,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314639,0.48845,0.444028,-0.59562,-2.543328,0.075613,1.912845,0.524856,0.536377,-0.002704,-0.843963,0,0.00584,-0.999949,0.006915,0,-0.843955,-0.008638,-0.536344,0,0.224131,-0.068684,0.05884,1,-0.849484,-0.605693,0.008141,0.052873,-0.56611,0.701225,-0.765675,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314640,0.488471,0.444034,-0.595573,-2.543319,0.075661,1.912836,0.524856,0.536376,-0.002673,-0.843964,0,0.005857,-0.999949,0.00689,0,-0.843956,-0.008639,-0.536343,0,0.224136,-0.068658,0.058836,1,-0.849437,-0.605454,0.008131,0.053196,-0.563678,0.69443,-0.757017,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314641,0.488485,0.444023,-0.595528,-2.543309,0.075708,1.91282,0.524853,0.53638,-0.002638,-0.843961,0,0.005867,-0.99995,0.006854,0,-0.843953,-0.008628,-0.536348,0,0.224143,-0.068631,0.058835,1,-0.849373,-0.605211,0.00812,0.053528,-0.561954,0.690612,-0.75105,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314642,0.488501,0.444029,-0.595482,-2.543298,0.075753,1.912805,0.524858,0.536375,-0.002614,-0.843964,0,0.005879,-0.99995,0.006833,0,-0.843956,-0.008627,-0.536343,0,0.224147,-0.068607,0.058831,1,-0.849333,-0.604987,0.00811,0.053828,-0.560226,0.687453,-0.752643,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314643,0.488517,0.444023,-0.59543,-2.543292,0.075803,1.912791,0.524858,0.536374,-0.002577,-0.843965,0,0.005894,-0.99995,0.006799,0,-0.843956,-0.008621,-0.536342,0,0.224152,-0.068578,0.058828,1,-0.849291,-0.604723,0.008099,0.054181,-0.558006,0.681699,-0.758532,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314644,0.48853,0.444018,-0.595379,-2.54328,0.075848,1.912777,0.52485,0.536377,-0.002533,-0.843963,0,0.005914,-0.99995,0.00676,0,-0.843954,-0.008617,-0.536346,0,0.22416,-0.068551,0.058826,1,-0.849223,-0.604477,0.008087,0.054518,-0.560252,0.671104,-0.76949,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314645,0.488549,0.444018,-0.59533,-2.543277,0.075896,1.912758,0.524856,0.536366,-0.002506,-0.84397,0,0.005924,-0.99995,0.006734,0,-0.843961,-0.008612,-0.536335,0,0.22416,-0.068523,0.058823,1,-0.849216,-0.604223,0.008076,0.054846,-0.570046,0.657305,-0.787254,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314646,0.488562,0.444023,-0.595284,-2.543265,0.075941,1.912742,0.524854,0.53636,-0.002475,-0.843974,0,0.005938,-0.99995,0.006706,0,-0.843965,-0.008609,-0.536329,0,0.224165,-0.068498,0.05882,1,-0.849176,-0.604002,0.008067,0.055143,-0.584316,0.638665,-0.800753,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
